bodyMajor,bodyAngle,bodyArea,lh1_x,lh1_y,lh1Major,lh1Angle,lh1Area,rh1_x,rh1_y,rh1Major,rh1Angle,rh1Area,lh2_x,lh2_y,lh2Major,lh2Angle,lh2Area,rh2_x,rh2_y,rh2Major,rh2Angle,rh2Area,Pose
126,89.091,16627.464,-24,-1,50,97.97,2513.6,31,-4,52,92.203,2777.528,-2,-39,46,144.605,2167.98,29,-42,24,75.964,603.264,Hands_Crossed
137,97.539,19370.43,-47,-3,71,94.83,5130.886,43,0,68,95.877,4700.432,-6,-36,76,-176.236,5969.8,12,-30,69,-6.613,4986.354,Hands_Crossed
115,88.008,13730.54,-26,-5,48,94.764,2413.056,30,-9,53,88.919,2830.942,-4,-42,46,146.31,2167.98,24,-45,21,58.57,461.874,Hands_Crossed
123,88.603,15845.106,-26,-3,49,98.13,2463.328,29,-6,50,92.291,2513.6,-3,-41,47,146.976,2215.11,25,-43,26,67.38,653.536,Hands_Crossed
120,88.091,15081.6,-26,-4,48,95.947,2413.056,33,-3,45,96.34,2120.85,-4,-41,47,145.305,2215.11,32,-40,28,75.964,791.784,Hands_Crossed
123,88.603,15845.106,-26,-3,47,93.652,2215.11,33,-5,47,93.652,2215.11,-8,-40,42,142.595,1847.496,30,-41,26,72.255,653.536,Hands_Crossed
123,87.672,15845.106,-26,-3,47,96.072,2215.11,32,-5,45,92.545,2120.85,-5,-40,45,144.904,2120.85,28,-40,26,68.199,653.536,Hands_Crossed
123,88.137,15845.106,-26,-3,47,96.072,2215.11,32,-5,45,91.273,2120.85,-5,-40,46,145.62,2167.98,27,-40,26,68.199,653.536,Hands_Crossed
123,89.068,15845.106,-27,-2,47,96.072,2215.11,31,-5,47,91.219,2215.11,-6,-39,45,144.904,2120.85,27,-41,25,69.444,628.4,Hands_Crossed
119,93.366,14582.022,-19,-2,47,74.219,2215.11,29,5,35,80.272,1209.67,-19,-21,16,-150.255,251.36,4,-15,45,6.34,2120.85,Hands_Crossed
118,92.426,14459.484,-17,0,45,70.769,2120.85,31,8,32,86.424,1005.44,-14,-15,25,-146.31,628.4,6,-11,48,7.125,2413.056,Hands_Crossed
118,92.426,14459.484,-17,0,44,70.346,1935.472,34,6,35,96.52,1209.67,-13,-13,27,-146.889,763.506,11,-13,51,2.246,2724.114,Hands_Crossed
134,93.842,18525.232,-45,-5,71,94.83,5130.886,41,-4,70,93.27,5058.62,-8,-30,71,-162.838,5130.886,10,-28,70,-17.403,5058.62,Hands_Crossed
121,98.063,15207.28,-10,-1,50,74.055,2513.6,33,13,33,93.468,1140.546,-3,-21,28,-159.677,791.784,14,-4,41,1.397,1674.686,Hands_Crossed
116,95.906,13849.936,-9,2,46,67.286,2167.98,33,12,30,91.909,942.6,-20,-21,5,30.964,15.71,13,-6,41,9.689,1674.686,Hands_Crossed
109,68.587,12329.208,-9,1,46,111.571,2167.98,16,6,37,106.991,1395.048,17,-17,35,-167.125,1209.67,19,-15,8,60.255,50.272,Hands_Crossed
107,68.694,11766.79,-14,2,45,106.46,2120.85,17,3,40,99.926,1633.84,12,-16,40,-168.69,1633.84,19,-19,5,59.036,15.71,Hands_Crossed
107,69.88,11766.79,-12,2,48,111.801,2413.056,18,2,40,94.289,1633.84,15,-12,40,-153.435,1633.84,15,-19,8,20.556,50.272,Hands_Crossed
109,70.241,12329.208,-12,3,49,115.017,2463.328,18,3,41,95.572,1674.686,16,-10,41,-150.945,1674.686,17,-18,7,0.0,43.988,Hands_Crossed
110,70.416,12442.32,-11,4,51,116.565,2724.114,19,4,41,95.572,1674.686,18,-7,42,-145.561,1847.496,17,-16,9,-6.34,84.834,Hands_Crossed
111,70.589,12904.194,-12,4,51,118.072,2724.114,20,3,42,98.13,1847.496,17,-8,40,-147.095,1633.84,22,-17,3,-33.69,9.426,Hands_Crossed
112,70.278,13020.448,-13,5,50,116.053,2513.6,21,4,41,98.326,1674.686,17,-6,43,-148.134,1891.484,23,-16,3,-33.69,9.426,Hands_Crossed
105,98.746,11546.85,-7,7,46,65.659,2167.98,35,6,42,70.71,1847.496,-29,-16,25,9.09,628.4,7,-21,45,18.034,2120.85,Hands_Crossed
124,90.0,15973.928,-44,-8,73,87.647,5504.784,51,-6,65,94.399,4288.83,-10,-44,71,-178.386,5130.886,18,-32,71,-11.31,5130.886,Hands_Crossed
103,93.888,11003.284,-29,7,42,128.234,1847.496,39,14,44,84.806,1935.472,-21,-24,29,70.346,820.062,16,-17,46,24.341,2167.98,Hands_Crossed
98,98.791,9853.312,-28,9,42,131.186,1847.496,37,13,39,82.694,1592.994,-23,-19,30,51.633,942.6,12,-18,50,26.053,2513.6,Hands_Crossed
96,100.729,9652.224,-29,11,37,124.114,1395.048,36,12,40,81.469,1633.84,-32,-15,32,37.569,1005.44,11,-18,48,25.514,2413.056,Hands_Crossed
99,101.65,10264.914,-26,10,39,125.707,1592.994,34,10,42,76.293,1847.496,-26,-16,30,41.009,942.6,7,-21,48,24.444,2413.056,Hands_Crossed
104,69.316,11110.112,-23,14,49,95.826,2463.328,23,4,41,95.572,1674.686,-2,-21,43,151.074,1891.484,11,-25,33,28.887,1140.546,Hands_Crossed
108,70.56,12216.096,-24,13,52,91.102,2777.528,24,2,43,100.539,1891.484,-6,-23,41,150.945,1674.686,17,-25,25,25.56,628.4,Hands_Crossed
105,69.507,11546.85,-23,10,53,93.24,2830.942,28,-1,45,104.036,2120.85,0,-26,47,157.751,2215.11,19,-28,29,19.654,820.062,Hands_Crossed
